sequence	start
2L_chromosome	213605
2L_chromosome	213807
2L_chromosome	215233
2L_chromosome	217933
2L_chromosome	218456
2L_chromosome	219559
2L_chromosome	220279
2L_chromosome	220619
2L_chromosome	221010
2L_chromosome	221675
2L_chromosome	222649
2L_chromosome	224588
2L_chromosome	224964
2L_chromosome	226379
2L_chromosome	226780
2L_chromosome	228138
2L_chromosome	228160
2L_chromosome	228246
2L_chromosome	228535
2L_chromosome	228584
2L_chromosome	228643
2L_chromosome	228737
2L_chromosome	230589
2L_chromosome	240400
2L_chromosome	240927
2L_chromosome	240966
2L_chromosome	241030
2L_chromosome	241521
2L_chromosome	243095
2L_chromosome	243131
2L_chromosome	243294
2L_chromosome	243766
2L_chromosome	243906
2L_chromosome	245528
2L_chromosome	247739
2L_chromosome	247758
2L_chromosome	247813
2L_chromosome	247849
2L_chromosome	247873
2L_chromosome	248020
2L_chromosome	250050
2L_chromosome	250068
2L_chromosome	250075
2L_chromosome	250400
2L_chromosome	250412
2L_chromosome	252225
2L_chromosome	252233
2L_chromosome	252247
2L_chromosome	252545
2L_chromosome	256465
2L_chromosome	256599
2L_chromosome	256727
2L_chromosome	257023
2L_chromosome	257048
2L_chromosome	257086
2L_chromosome	257311
2L_chromosome	259841
2L_chromosome	268090
2L_chromosome	268574
2L_chromosome	268606
2L_chromosome	269098
2L_chromosome	277472
2L_chromosome	279639
2L_chromosome	279874
2L_chromosome	280014
2L_chromosome	280086
2L_chromosome	296211
2L_chromosome	300687
2L_chromosome	301797
2L_chromosome	301804
2L_chromosome	313226
2L_chromosome	313885
2L_chromosome	314005
2L_chromosome	314098
2L_chromosome	314233
2L_chromosome	315420
2L_chromosome	315676
2L_chromosome	315684
2L_chromosome	315695
2L_chromosome	315731
2L_chromosome	315748
2L_chromosome	315784
2L_chromosome	315792
2L_chromosome	315803
2L_chromosome	315828
2L_chromosome	315839
2L_chromosome	315875
2L_chromosome	315997
2L_chromosome	316488
2L_chromosome	317200
2L_chromosome	317508
2L_chromosome	317646
2L_chromosome	317969
2L_chromosome	325062
2L_chromosome	325115
2L_chromosome	326128
2L_chromosome	326297
2L_chromosome	328305
2L_chromosome	328322
2L_chromosome	329202
2L_chromosome	329777
2L_chromosome	333027
2L_chromosome	333568
2L_chromosome	335841
2L_chromosome	336016
2L_chromosome	336624
2L_chromosome	337042
2L_chromosome	337081
2L_chromosome	337198
2L_chromosome	339746
2L_chromosome	339987
2L_chromosome	340249
2L_chromosome	340624
2L_chromosome	340761
2L_chromosome	341028
2L_chromosome	341069
2L_chromosome	341401
2L_chromosome	341469
2L_chromosome	341515
2L_chromosome	341671
2L_chromosome	343388
2L_chromosome	343900
2L_chromosome	344518
2L_chromosome	344675
2L_chromosome	344819
2L_chromosome	345176
2L_chromosome	345976
2L_chromosome	346380
2L_chromosome	346394
2L_chromosome	346633
2L_chromosome	346732
2L_chromosome	346856
2L_chromosome	347167
2L_chromosome	349622
2L_chromosome	350679
2L_chromosome	350887
2L_chromosome	350895
2L_chromosome	351721
2L_chromosome	353164
2L_chromosome	354059
2L_chromosome	354202
2L_chromosome	354229
2L_chromosome	354473
2L_chromosome	354721
2L_chromosome	354949
2L_chromosome	356300
2L_chromosome	357244
2L_chromosome	357885
2L_chromosome	359275
2L_chromosome	360194
2L_chromosome	360925
2L_chromosome	364312
2L_chromosome	365078
2L_chromosome	365171
2L_chromosome	365273
2L_chromosome	366208
2L_chromosome	366622
2L_chromosome	366668
2L_chromosome	366746
2L_chromosome	367567
2L_chromosome	369108
2L_chromosome	369213
2L_chromosome	369509
2L_chromosome	370077
2L_chromosome	370155
2L_chromosome	370294
2L_chromosome	370438
2L_chromosome	370541
2L_chromosome	370688
2L_chromosome	370803
2L_chromosome	370910
2L_chromosome	370912
2L_chromosome	371443
2L_chromosome	375537
2L_chromosome	375640
2L_chromosome	375716
2L_chromosome	376787
2L_chromosome	376999
2L_chromosome	377148
2L_chromosome	377155
2L_chromosome	377164
2L_chromosome	377535
2L_chromosome	377686
2L_chromosome	377966
2L_chromosome	378191
2L_chromosome	378466
2L_chromosome	378994
2L_chromosome	379324
2L_chromosome	379335
2L_chromosome	379532
2L_chromosome	379546
2L_chromosome	380153
2L_chromosome	380954
2L_chromosome	382323
2L_chromosome	382707
2L_chromosome	383019
2L_chromosome	384895
2L_chromosome	386039
2L_chromosome	387991
2L_chromosome	388007
2L_chromosome	388119
2L_chromosome	388157
2L_chromosome	388882
2L_chromosome	390466
2L_chromosome	390639
2L_chromosome	394337
2L_chromosome	396730
2L_chromosome	400502
2L_chromosome	408685
2L_chromosome	410282
2L_chromosome	419966
2L_chromosome	420134
2L_chromosome	425037
2L_chromosome	425123
2L_chromosome	425280
2L_chromosome	427428
2L_chromosome	427581
2L_chromosome	427749
2L_chromosome	428085
2L_chromosome	428906
2L_chromosome	429218
2L_chromosome	429256
2L_chromosome	430247
2L_chromosome	430298
2L_chromosome	430483
2L_chromosome	430817
2L_chromosome	435039
2L_chromosome	435050
2L_chromosome	435149
2L_chromosome	435243
2L_chromosome	435297
2L_chromosome	435760
2L_chromosome	436270
2L_chromosome	436281
2L_chromosome	436316
2L_chromosome	438089
2L_chromosome	438152
2L_chromosome	438405
2L_chromosome	438532
2L_chromosome	439442
2L_chromosome	439877
2L_chromosome	441267
2L_chromosome	441535
2L_chromosome	442433
2L_chromosome	442709
2L_chromosome	443167
2L_chromosome	444070
2L_chromosome	444285
2L_chromosome	458081
2L_chromosome	458121
2L_chromosome	464827
2L_chromosome	465749
2L_chromosome	465859
2L_chromosome	470937
2L_chromosome	472545
2L_chromosome	472783
2L_chromosome	474028
2L_chromosome	474268
2L_chromosome	475419
2L_chromosome	475859
2L_chromosome	477190
2L_chromosome	477321
2L_chromosome	477491
2L_chromosome	478570
2L_chromosome	478699
2L_chromosome	478733
2L_chromosome	478927
2L_chromosome	479777
2L_chromosome	479799
2L_chromosome	479891
2L_chromosome	479953
2L_chromosome	483473
2L_chromosome	483494
2L_chromosome	483871
2L_chromosome	483922
2L_chromosome	485381
2L_chromosome	485686
2L_chromosome	487197
2L_chromosome	487279
2L_chromosome	489593
2L_chromosome	490029
2L_chromosome	490257
2L_chromosome	490316
2L_chromosome	494284
2L_chromosome	494483
2L_chromosome	494496
2L_chromosome	494877
2L_chromosome	494982
2L_chromosome	495124
2L_chromosome	496533
2L_chromosome	499242
2L_chromosome	500652
2L_chromosome	500801
2L_chromosome	500943
2L_chromosome	501115
2L_chromosome	501369
2L_chromosome	501399
2L_chromosome	501492
2L_chromosome	508626
2L_chromosome	508784
2L_chromosome	509237
2L_chromosome	509300
2L_chromosome	509655
2L_chromosome	509913
2L_chromosome	510970
2L_chromosome	511013
2L_chromosome	511384
2L_chromosome	511763
2L_chromosome	512080
2L_chromosome	513426
2L_chromosome	514085
2L_chromosome	514146
2L_chromosome	514565
2L_chromosome	516834
2L_chromosome	516884
2L_chromosome	518548
2L_chromosome	520061
2L_chromosome	520623
2L_chromosome	523771
2L_chromosome	524008
2L_chromosome	524146
2L_chromosome	524272
2L_chromosome	524286
2L_chromosome	526683
2L_chromosome	528838
2L_chromosome	530995
2L_chromosome	531007
2L_chromosome	531019
2L_chromosome	531021
2L_chromosome	531637
2L_chromosome	533170
2L_chromosome	536430
2L_chromosome	536444
2L_chromosome	536492
2L_chromosome	538426
2L_chromosome	538514
2L_chromosome	538535
2L_chromosome	538616
2L_chromosome	538650
2L_chromosome	538667
2L_chromosome	538770
2L_chromosome	538795
2L_chromosome	538886
2L_chromosome	538929
2L_chromosome	539064
2L_chromosome	539149
2L_chromosome	539332
2L_chromosome	540907
2L_chromosome	540913
2L_chromosome	540927
2L_chromosome	541365
2L_chromosome	542288
2L_chromosome	542315
2L_chromosome	542319
2L_chromosome	542681
2L_chromosome	543615
2L_chromosome	543633
2L_chromosome	543639
2L_chromosome	544107
2L_chromosome	544212
2L_chromosome	544961
2L_chromosome	544969
2L_chromosome	545045
2L_chromosome	547195
2L_chromosome	547925
2L_chromosome	547983
2L_chromosome	548251
2L_chromosome	548253
2L_chromosome	548665
2L_chromosome	548852
2L_chromosome	550005
2L_chromosome	550024
2L_chromosome	550114
2L_chromosome	550219
2L_chromosome	550234
2L_chromosome	550342
2L_chromosome	550352
2L_chromosome	550513
2L_chromosome	550527
2L_chromosome	550627
2L_chromosome	551090
2L_chromosome	551338
2L_chromosome	551468
2L_chromosome	552482
2L_chromosome	552784
2L_chromosome	553196
2L_chromosome	553388
2L_chromosome	553877
2L_chromosome	555324
2L_chromosome	555425
2L_chromosome	556857
2L_chromosome	558188
2L_chromosome	558361
2L_chromosome	559015
2L_chromosome	560440
2L_chromosome	561163
2L_chromosome	561207
2L_chromosome	561334
2L_chromosome	562545
2L_chromosome	562619
2L_chromosome	562665
2L_chromosome	563084
2L_chromosome	563100
2L_chromosome	563898
2L_chromosome	563919
2L_chromosome	563935
2L_chromosome	564025
2L_chromosome	564670
2L_chromosome	564715
2L_chromosome	564737
2L_chromosome	564803
2L_chromosome	564804
2L_chromosome	564970
2L_chromosome	567390
2L_chromosome	567505
2L_chromosome	567575
2L_chromosome	568185
2L_chromosome	568198
2L_chromosome	569999
2L_chromosome	570315
2L_chromosome	571244
2L_chromosome	573626
2L_chromosome	576093
2L_chromosome	576919
2L_chromosome	577109
2L_chromosome	577436
2L_chromosome	578193
2L_chromosome	579116
2L_chromosome	579416
2L_chromosome	580269
2L_chromosome	581419
2L_chromosome	582189
2L_chromosome	582445
2L_chromosome	583417
2L_chromosome	588366
2L_chromosome	588609
2L_chromosome	588620
2L_chromosome	589763
2L_chromosome	589919
2L_chromosome	590113
2L_chromosome	590233
2L_chromosome	590369
2L_chromosome	591132
2L_chromosome	591346
2L_chromosome	592346
2L_chromosome	596587
2L_chromosome	601408
2L_chromosome	601988
2L_chromosome	602119
2L_chromosome	602300
2L_chromosome	603296
2L_chromosome	603319
2L_chromosome	603728
2L_chromosome	603942
2L_chromosome	606834
2L_chromosome	609241
2L_chromosome	609640
2L_chromosome	611964
2L_chromosome	612533
2L_chromosome	615554
2L_chromosome	615687
2L_chromosome	616498
2L_chromosome	617424
2L_chromosome	617584
2L_chromosome	617854
2L_chromosome	618759
2L_chromosome	618948
2L_chromosome	621924
2L_chromosome	622231
2L_chromosome	622243
2L_chromosome	623143
2L_chromosome	623570
2L_chromosome	623686
2L_chromosome	624848
2L_chromosome	624925
2L_chromosome	625050
2L_chromosome	625118
2L_chromosome	627708
2L_chromosome	628854
2L_chromosome	629337
2L_chromosome	630563
2L_chromosome	633178
2L_chromosome	634689
2L_chromosome	634989
2L_chromosome	636009
2L_chromosome	637688
2L_chromosome	637815
2L_chromosome	638405
2L_chromosome	638565
2L_chromosome	639525
2L_chromosome	639533
2L_chromosome	639886
2L_chromosome	641682
2L_chromosome	642954
2L_chromosome	643619
2L_chromosome	643910
2L_chromosome	643937
2L_chromosome	645149
2L_chromosome	645523
2L_chromosome	646025
2L_chromosome	647285
2L_chromosome	647610
2L_chromosome	648486
2L_chromosome	648756
2L_chromosome	648780
2L_chromosome	648925
2L_chromosome	650364
2L_chromosome	650780
2L_chromosome	654678
2L_chromosome	656829
2L_chromosome	657360
2L_chromosome	659191
2L_chromosome	659215
2L_chromosome	659509
2L_chromosome	659533
2L_chromosome	659828
2L_chromosome	659852
2L_chromosome	661040
2L_chromosome	661368
2L_chromosome	661773
2L_chromosome	663267
2L_chromosome	664803
2L_chromosome	666158
2L_chromosome	667150
2L_chromosome	667223
2L_chromosome	667320
2L_chromosome	668045
2L_chromosome	668666
2L_chromosome	673852
2L_chromosome	673964
2L_chromosome	674233
2L_chromosome	679002
2L_chromosome	679387
2L_chromosome	679759
2L_chromosome	680092
2L_chromosome	680346
2L_chromosome	680465
2L_chromosome	682919
2L_chromosome	684620
2L_chromosome	684782
2L_chromosome	686312
2L_chromosome	686755
2L_chromosome	686836
2L_chromosome	686845
2L_chromosome	687449
2L_chromosome	687699
2L_chromosome	687715
2L_chromosome	687815
2L_chromosome	687861
2L_chromosome	687937
2L_chromosome	688091
2L_chromosome	688559
2L_chromosome	688631
2L_chromosome	690068
2L_chromosome	690325
2L_chromosome	691847
2L_chromosome	691864
2L_chromosome	693147
2L_chromosome	693447
2L_chromosome	695839
2L_chromosome	695917
2L_chromosome	696024
2L_chromosome	696047
2L_chromosome	696199
2L_chromosome	696205
2L_chromosome	696233
2L_chromosome	697056
2L_chromosome	697066
2L_chromosome	697079
2L_chromosome	702278
2L_chromosome	702308
2L_chromosome	702943
2L_chromosome	704520
2L_chromosome	705100
2L_chromosome	706065
2L_chromosome	707754
2L_chromosome	711149
2L_chromosome	713152
2L_chromosome	713335
2L_chromosome	713650
2L_chromosome	713798
2L_chromosome	715402
2L_chromosome	716033
2L_chromosome	716126
2L_chromosome	716291
2L_chromosome	717252
2L_chromosome	717467
2L_chromosome	717579
2L_chromosome	717706
2L_chromosome	718274
2L_chromosome	718505
2L_chromosome	718517
2L_chromosome	718554
2L_chromosome	718888
2L_chromosome	718936
2L_chromosome	718994
2L_chromosome	720535
2L_chromosome	720549
2L_chromosome	720629
2L_chromosome	720775
2L_chromosome	721056
2L_chromosome	721091
2L_chromosome	721105
2L_chromosome	721245
2L_chromosome	721355
2L_chromosome	721360
2L_chromosome	721390
2L_chromosome	721481
2L_chromosome	721549
2L_chromosome	721562
2L_chromosome	721699
2L_chromosome	721794
2L_chromosome	721831
2L_chromosome	722442
2L_chromosome	723162
2L_chromosome	723483
2L_chromosome	723617
2L_chromosome	724731
2L_chromosome	724982
2L_chromosome	725047
2L_chromosome	725225
2L_chromosome	725431
2L_chromosome	725887
2L_chromosome	726432
2L_chromosome	726444
2L_chromosome	729408
2L_chromosome	729718
2L_chromosome	729877
2L_chromosome	731072
2L_chromosome	731387
2L_chromosome	731483
2L_chromosome	731697
2L_chromosome	731753
2L_chromosome	732398
2L_chromosome	733659
2L_chromosome	733761
2L_chromosome	738552
2L_chromosome	739321
2L_chromosome	741578
2L_chromosome	741589
2L_chromosome	741654
2L_chromosome	741877
2L_chromosome	742150
2L_chromosome	743968
2L_chromosome	744107
2L_chromosome	744800
2L_chromosome	745241
2L_chromosome	745384
2L_chromosome	745698
2L_chromosome	745730
2L_chromosome	746636
2L_chromosome	746659
2L_chromosome	746925
2L_chromosome	747044
2L_chromosome	747110
2L_chromosome	747362
2L_chromosome	749991
2L_chromosome	751080
2L_chromosome	757395
2L_chromosome	757582
2L_chromosome	757916
2L_chromosome	757999
2L_chromosome	758050
2L_chromosome	758058
2L_chromosome	762487
2L_chromosome	763119
2L_chromosome	768217
2L_chromosome	768511
2L_chromosome	768525
2L_chromosome	770237
2L_chromosome	773356
2L_chromosome	773659
2L_chromosome	774651
2L_chromosome	774889
2L_chromosome	776746
2L_chromosome	777262
2L_chromosome	777458
2L_chromosome	778271
2L_chromosome	783945
2L_chromosome	788024
2L_chromosome	788580
2L_chromosome	788818
2L_chromosome	789120
2L_chromosome	790160
2L_chromosome	791545
2L_chromosome	791746
2L_chromosome	792487
2L_chromosome	792883
2L_chromosome	793278
2L_chromosome	794652
2L_chromosome	797796
2L_chromosome	799910
2L_chromosome	800269
2L_chromosome	804745
2L_chromosome	805542
2L_chromosome	807333
2L_chromosome	809422
2L_chromosome	810861
2L_chromosome	814156
2L_chromosome	815761
2L_chromosome	815960
2L_chromosome	816092
2L_chromosome	816135
2L_chromosome	817314
2L_chromosome	821628
2L_chromosome	824446
2L_chromosome	830775
2L_chromosome	831244
2L_chromosome	831256
2L_chromosome	833605
2L_chromosome	834949
2L_chromosome	834969
2L_chromosome	835080
2L_chromosome	835760
2L_chromosome	836979
2L_chromosome	836995
2L_chromosome	837036
2L_chromosome	837540
2L_chromosome	837943
2L_chromosome	839061
2L_chromosome	839197
2L_chromosome	839628
2L_chromosome	840906
2L_chromosome	841059
2L_chromosome	842302
2L_chromosome	842496
2L_chromosome	843420
2L_chromosome	844200
2L_chromosome	844209
2L_chromosome	844251
2L_chromosome	844852
2L_chromosome	846171
2L_chromosome	846707
2L_chromosome	847207
2L_chromosome	847802
2L_chromosome	848301
2L_chromosome	849658
2L_chromosome	851558
2L_chromosome	858810
2L_chromosome	861316
2L_chromosome	861656
2L_chromosome	861851
2L_chromosome	861947
2L_chromosome	862079
2L_chromosome	863582
2L_chromosome	864673
2L_chromosome	864682
2L_chromosome	864696
2L_chromosome	867061
2L_chromosome	867363
2L_chromosome	868042
2L_chromosome	868493
2L_chromosome	869994
2L_chromosome	870148
2L_chromosome	870163
2L_chromosome	870338
2L_chromosome	871044
2L_chromosome	871552
2L_chromosome	871573
2L_chromosome	873178
2L_chromosome	873472
2L_chromosome	873490
2L_chromosome	873543
2L_chromosome	894130
2L_chromosome	894425
2L_chromosome	894434
2L_chromosome	895428
2L_chromosome	896286
2L_chromosome	896803
2L_chromosome	896816
2L_chromosome	896893
2L_chromosome	897742
2L_chromosome	897756
2L_chromosome	897788
2L_chromosome	897952
2L_chromosome	898169
2L_chromosome	898276
2L_chromosome	900458
2L_chromosome	900956
2L_chromosome	901185
2L_chromosome	901756
2L_chromosome	903055
2L_chromosome	903110
2L_chromosome	904637
2L_chromosome	904742
2L_chromosome	905257
2L_chromosome	905857
2L_chromosome	905989
2L_chromosome	908094
2L_chromosome	908149
2L_chromosome	908370
2L_chromosome	909671
2L_chromosome	910109
2L_chromosome	910706
2L_chromosome	911056
2L_chromosome	911072
2L_chromosome	911194
2L_chromosome	911301
2L_chromosome	911573
2L_chromosome	912743
2L_chromosome	913018
2L_chromosome	914380
2L_chromosome	915054
2L_chromosome	915135
2L_chromosome	915246
2L_chromosome	915328
2L_chromosome	916548
2L_chromosome	916590
2L_chromosome	916641
2L_chromosome	917114
2L_chromosome	918089
2L_chromosome	918112
2L_chromosome	921674
2L_chromosome	921900
2L_chromosome	923069
2L_chromosome	926171
2L_chromosome	926321
2L_chromosome	927439
2L_chromosome	927502
2L_chromosome	929217
2L_chromosome	929397
2L_chromosome	929635
2L_chromosome	929797
2L_chromosome	931790
2L_chromosome	931974
2L_chromosome	932019
2L_chromosome	935068
2L_chromosome	935173
2L_chromosome	935373
2L_chromosome	935649
2L_chromosome	935872
2L_chromosome	936340
2L_chromosome	936429
2L_chromosome	937648
2L_chromosome	937749
2L_chromosome	937847
2L_chromosome	937974
2L_chromosome	938086
2L_chromosome	938143
2L_chromosome	938276
2L_chromosome	938366
2L_chromosome	938501
2L_chromosome	939638
2L_chromosome	942302
2L_chromosome	942956
2L_chromosome	943189
2L_chromosome	944094
2L_chromosome	944468
2L_chromosome	944584
2L_chromosome	945180
2L_chromosome	945621
2L_chromosome	945761
2L_chromosome	945889
2L_chromosome	947244
2L_chromosome	947665
2L_chromosome	947729
2L_chromosome	948157
2L_chromosome	948724
2L_chromosome	950996
2L_chromosome	951541
2L_chromosome	951641
2L_chromosome	951825
2L_chromosome	952264
2L_chromosome	952303
2L_chromosome	953189
2L_chromosome	953970
2L_chromosome	955956
2L_chromosome	956304
2L_chromosome	956341
2L_chromosome	956461
2L_chromosome	956509
2L_chromosome	956667
2L_chromosome	960410
2L_chromosome	962889
2L_chromosome	963056
2L_chromosome	964594
2L_chromosome	964669
2L_chromosome	965197
2L_chromosome	965404
2L_chromosome	965704
2L_chromosome	966276
2L_chromosome	967085
2L_chromosome	967211
2L_chromosome	967594
2L_chromosome	969372
2L_chromosome	970767
2L_chromosome	971345
2L_chromosome	971437
2L_chromosome	972184
2L_chromosome	972270
2L_chromosome	972282
2L_chromosome	972720
2L_chromosome	973347
2L_chromosome	973390
2L_chromosome	973612
2L_chromosome	974091
2L_chromosome	974140
2L_chromosome	975848
2L_chromosome	977608
2L_chromosome	977795
2L_chromosome	978844
2L_chromosome	978871
2L_chromosome	979068
2L_chromosome	979311
2L_chromosome	979734
2L_chromosome	980740
2L_chromosome	985443
2L_chromosome	985703
2L_chromosome	987943
2L_chromosome	989082
2L_chromosome	989093
2L_chromosome	989106
2L_chromosome	990831
2L_chromosome	991257
2L_chromosome	991404
2L_chromosome	992084
2L_chromosome	992542
2L_chromosome	992769
2L_chromosome	992996
2L_chromosome	993017
2L_chromosome	993362
2L_chromosome	994040
2L_chromosome	995110
2L_chromosome	995327
2L_chromosome	996062
2L_chromosome	996078
2L_chromosome	1001797
2L_chromosome	1001909
2L_chromosome	1002043
2L_chromosome	1006392
2L_chromosome	1007872
2L_chromosome	1008009
2L_chromosome	1008622
2L_chromosome	1008678
2L_chromosome	1008766
2L_chromosome	1009897
2L_chromosome	1012294
2L_chromosome	1012402
2L_chromosome	1014757
2L_chromosome	1014945
2L_chromosome	1015171
2L_chromosome	1015361
2L_chromosome	1015483
2L_chromosome	1015600
2L_chromosome	1016021
2L_chromosome	1016052
2L_chromosome	1016430
2L_chromosome	1016461
2L_chromosome	1016846
2L_chromosome	1017417
2L_chromosome	1017685
2L_chromosome	1017700
2L_chromosome	1019234
2L_chromosome	1020155
2L_chromosome	1023619
2L_chromosome	1023662
2L_chromosome	1024958
2L_chromosome	1025136
2L_chromosome	1025377
2L_chromosome	1025856
2L_chromosome	1026406
2L_chromosome	1026424
2L_chromosome	1026712
2L_chromosome	1027053
2L_chromosome	1030860
2L_chromosome	1032552
2L_chromosome	1032790
2L_chromosome	1035397
2L_chromosome	1038470
2L_chromosome	1038795
2L_chromosome	1039152
2L_chromosome	1040996
2L_chromosome	1045556
2L_chromosome	1053111
2L_chromosome	1054618
2L_chromosome	1055146
2L_chromosome	1055706
2L_chromosome	1058502
2L_chromosome	1062640
2L_chromosome	1062699
2L_chromosome	1062743
2L_chromosome	1062896
2L_chromosome	1062956
2L_chromosome	1063017
2L_chromosome	1063086
2L_chromosome	1063178
2L_chromosome	1063285
2L_chromosome	1063322
2L_chromosome	1064643
2L_chromosome	1068508
2L_chromosome	1070401
2L_chromosome	1071871
2L_chromosome	1073978
2L_chromosome	1074280
2L_chromosome	1074490
2L_chromosome	1077231
2L_chromosome	1077291
2L_chromosome	1077366
2L_chromosome	1077534
2L_chromosome	1077732
2L_chromosome	1077804
2L_chromosome	1080898
2L_chromosome	1081065
2L_chromosome	1082812
2L_chromosome	1083338
2L_chromosome	1085204
2L_chromosome	1086359
2L_chromosome	1086476
2L_chromosome	1086910
2L_chromosome	1088703
2L_chromosome	1088864
2L_chromosome	1089368
2L_chromosome	1091558
2L_chromosome	1092577
2L_chromosome	1093294
2L_chromosome	1093309
2L_chromosome	1093884
2L_chromosome	1093990
2L_chromosome	1094736
2L_chromosome	1094979
2L_chromosome	1098413
2L_chromosome	1098424
2L_chromosome	1098755
2L_chromosome	1098843
2L_chromosome	1098945
2L_chromosome	1099059
2L_chromosome	1101126
2L_chromosome	1101175
2L_chromosome	1103443
2L_chromosome	1108303
2L_chromosome	1108809
2L_chromosome	1109077
2L_chromosome	1115480
2L_chromosome	1117658
2L_chromosome	1118009
2L_chromosome	1121498
2L_chromosome	1121806
2L_chromosome	1121944
2L_chromosome	1122107
2L_chromosome	1127749
2L_chromosome	1129273
2L_chromosome	1129274
2L_chromosome	1130611
2L_chromosome	1130881
2L_chromosome	1131496
2L_chromosome	1131523
2L_chromosome	1131538
2L_chromosome	1133692
2L_chromosome	1133878
2L_chromosome	1134015
2L_chromosome	1134171
2L_chromosome	1134347
2L_chromosome	1134643
2L_chromosome	1134779
2L_chromosome	1135112
2L_chromosome	1135667
